match_id,date,venue,city,country,competition,match_type,balls_per_over,team1,team2,toss_winner,toss_decision,winner,win_type,win_margin,player_of_match
20240629_KensingtonOvalBridgetownBarbados_India_vs_SouthAfrica,2024-06-29,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,,T20,6,India,South Africa,India,bat,India,runs,7,V Kohli
20211017_AlAmeratCricketGroundOmanCricketMinistryTurf1_Scotland_vs_Bangladesh,2021-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,,T20,6,Scotland,Bangladesh,Bangladesh,field,Scotland,runs,6,CN Greaves
20211114_DubaiInternationalCricketStadium_NewZealand_vs_Australia,2021-11-14,Dubai International Cricket Stadium,Dubai,UAE,,T20,6,New Zealand,Australia,Australia,field,Australia,wickets,8,MR Marsh
20211103_DubaiInternationalCricketStadium_NewZealand_vs_Scotland,2021-11-03,Dubai International Cricket Stadium,Dubai,UAE,,T20,6,New Zealand,Scotland,Scotland,field,New Zealand,runs,16,MJ Guptill
20211031_DubaiInternationalCricketStadium_India_vs_NewZealand,2021-10-31,Dubai International Cricket Stadium,Dubai,UAE,,T20,6,India,New Zealand,New Zealand,field,New Zealand,wickets,8,IS Sodhi
20211108_DubaiInternationalCricketStadium_Namibia_vs_India,2021-11-08,Dubai International Cricket Stadium,Dubai,UAE,,T20,6,Namibia,India,India,field,India,wickets,9,RA Jadeja
20211104_ZayedCricketStadiumAbuDhabi_SriLanka_vs_WestIndies,2021-11-04,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE,,T20,6,Sri Lanka,West Indies,West Indies,field,Sri Lanka,runs,20,KIC Asalanka
20211106_ZayedCricketStadiumAbuDhabi_WestIndies_vs_Australia,2021-11-06,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE,,T20,6,West Indies,Australia,Australia,field,Australia,wickets,8,DA Warner
20211110_ZayedCricketStadiumAbuDhabi_England_vs_NewZealand,2021-11-10,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE,,T20,6,England,New Zealand,New Zealand,field,New Zealand,wickets,5,DJ Mitchell
20211106_SharjahCricketStadium_SouthAfrica_vs_England,2021-11-06,Sharjah Cricket Stadium,Sharjah,UAE,,T20,6,South Africa,England,England,field,South Africa,runs,10,HE van der Dussen
20211028_DubaiInternationalCricketStadium_SriLanka_vs_Australia,2021-10-28,Dubai International Cricket Stadium,Dubai,UAE,,T20,6,Sri Lanka,Australia,Australia,field,Australia,wickets,7,A Zampa
20211111_DubaiInternationalCricketStadium_Pakistan_vs_Australia,2021-11-11,Dubai International Cricket Stadium,Dubai,UAE,,T20,6,Pakistan,Australia,Australia,field,Australia,wickets,5,MS Wade
20211030_SharjahCricketStadium_SriLanka_vs_SouthAfrica,2021-10-30,Sharjah Cricket Stadium,Sharjah,UAE,,T20,6,Sri Lanka,South Africa,South Africa,field,South Africa,wickets,4,T Shamsi
20211022_SharjahCricketStadium_Ireland_vs_Namibia,2021-10-22,Sharjah Cricket Stadium,Sharjah,UAE,,T20,6,Ireland,Namibia,Ireland,bat,Namibia,wickets,8,D Wiese
20211026_SharjahCricketStadium_NewZealand_vs_Pakistan,2021-10-26,Sharjah Cricket Stadium,Sharjah,UAE,,T20,6,New Zealand,Pakistan,Pakistan,field,Pakistan,wickets,5,Haris Rauf
